Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Panic_AEI_Beta_FC,0.4375,0.5454545454545454,0.625,0.3545454545454545,0.4375,0.08181818181818182,0.5625,0.6363636363636364,0.5,0.3
Panic_AEI_Beta_FCPCA,0.6875,0.7090909090909091,0.6875,0.5454545454545454,0.625,0.5818181818181818,0.6875,0.6909090909090909,0.8125,0.6181818181818182
Panic_AEI_HighBeta_FC,0.5625,0.6545454545454545,0.5625,0.32727272727272727,0.6875,0.6181818181818182,0.625,0.6545454545454545,0.75,0.8363636363636363
Panic_AEI_HighBeta_FCPCA,0.5625,0.6727272727272727,0.6875,0.5727272727272726,0.75,0.7909090909090909,0.5,0.6363636363636364,0.8125,0.6454545454545454
Panic_AEI_Gamma_FC,0.4375,0.4727272727272727,0.6875,0.4272727272727273,0.6875,0.47272727272727283,0.4375,0.4,0.75,0.6636363636363636
Panic_AEI_Gamma_FCPCA,0.5,0.5636363636363636,0.75,0.6545454545454545,0.625,0.5454545454545454,0.5,0.509090909090909,0.625,0.6454545454545455
Panic_AEI_All_FC,0.1875,0.12727272727272726,0.5,0.42727272727272725,0.5,0.35454545454545455,0.1875,0.18181818181818182,0.25,0.21818181818181817
Panic_AEI_All_FCPCA,0.625,0.6363636363636364,0.6875,0.6909090909090909,0.6875,0.6818181818181818,0.4375,0.3636363636363637,0.6875,0.6181818181818182
PTSD_AEI_Delta_FC,0.4666666666666667,0.5454545454545455,0.5333333333333333,0.4318181818181818,0.5333333333333333,0.2727272727272727,0.5333333333333333,0.5,0.7333333333333333,0.6704545454545454
PTSD_AEI_Delta_FCPCA,0.8,0.7499999999999999,0.7333333333333333,0.6931818181818182,0.7333333333333333,0.5568181818181819,0.8,0.7045454545454545,0.8,0.5681818181818181
PTSD_AEI_Theta_FC,0.7333333333333333,0.7727272727272727,0.6666666666666666,0.6136363636363635,0.6,0.48863636363636365,0.7333333333333333,0.6590909090909091,0.6666666666666666,0.5
PTSD_AEI_Theta_FCPCA,0.8666666666666667,0.8636363636363636,0.6,0.6818181818181818,0.8,0.7159090909090909,0.8666666666666667,0.9772727272727273,0.6,0.34090909090909094
PTSD_AEI_Alpha_FC,0.6,0.45454545454545453,0.6,0.20454545454545456,0.7333333333333333,0.36363636363636365,0.5333333333333333,0.4090909090909091,0.6,0.5681818181818181
PTSD_AEI_Alpha_FCPCA,0.6666666666666666,0.5909090909090908,0.7333333333333333,0.36363636363636365,0.8,0.7954545454545455,0.7333333333333333,0.5681818181818181,0.8,0.7045454545454546
PTSD_AEI_Beta_FC,0.6,0.5681818181818181,0.6666666666666666,0.5568181818181819,0.5333333333333333,0.5681818181818181,0.5333333333333333,0.5227272727272727,0.6666666666666666,0.39772727272727276
PTSD_AEI_Beta_FCPCA,0.8,0.7272727272727273,0.6666666666666666,0.5909090909090909,0.8,0.6931818181818182,0.7333333333333333,0.7727272727272727,0.7333333333333333,0.6363636363636364
PTSD_AEI_HighBeta_FC,0.4666666666666667,0.5454545454545454,0.7333333333333333,0.5909090909090909,0.6,0.45454545454545453,0.5333333333333333,0.4772727272727273,0.7333333333333333,0.7727272727272727
PTSD_AEI_HighBeta_FCPCA,0.6666666666666666,0.8181818181818182,0.7333333333333333,0.6704545454545454,0.7333333333333333,0.48863636363636365,0.8,0.8181818181818181,0.6,0.5340909090909092
PTSD_AEI_Gamma_FC,0.4,0.29545454545454547,0.7333333333333333,0.6590909090909091,0.7333333333333333,0.4886363636363636,0.5333333333333333,0.3181818181818182,0.6666666666666666,0.6136363636363636
PTSD_AEI_Gamma_FCPCA,0.8666666666666667,0.7272727272727273,0.7333333333333333,0.46590909090909094,0.7333333333333333,0.6590909090909091,0.8,0.8181818181818181,0.6666666666666666,0.36363636363636365
PTSD_AEI_All_FC,0.4,0.3181818181818182,0.6666666666666666,0.7954545454545455,0.6666666666666666,0.3181818181818182,0.3333333333333333,0.25,0.6666666666666666,0.75
PTSD_AEI_All_FCPCA,0.5333333333333333,0.5909090909090908,0.7333333333333333,0.6590909090909091,0.6666666666666666,0.38636363636363635,0.6,0.6363636363636364,0.8,0.8181818181818181
Social_AEI_Delta_FC,0.4,0.6607142857142857,0.5333333333333333,0.7589285714285714,0.5333333333333333,0.43749999999999994,0.4666666666666667,0.3392857142857143,0.5333333333333333,0.4910714285714286
Social_AEI_Delta_FCPCA,0.7333333333333333,0.7678571428571429,0.6,0.7589285714285714,0.6,0.7946428571428572,0.7333333333333333,0.7321428571428572,0.7333333333333333,0.8035714285714285
Social_AEI_Theta_FC,0.6666666666666666,0.39285714285714285,0.4666666666666667,0.36607142857142855,0.5333333333333333,0.4553571428571429,0.6,0.6071428571428571,0.5333333333333333,0.42857142857142855
Social_AEI_Theta_FCPCA,0.6,0.8035714285714286,0.6,0.7321428571428572,0.6666666666666666,0.6071428571428572,0.6,0.7678571428571428,0.4666666666666667,0.4375
Social_AEI_Alpha_FC,0.4666666666666667,0.5178571428571428,0.6,0.4375,0.6,0.3482142857142857,0.4,0.33928571428571425,0.5333333333333333,0.5892857142857143
Social_AEI_Alpha_FCPCA,0.6,0.6607142857142858,0.5333333333333333,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.6964285714285714,0.7333333333333333,0.7678571428571429
Social_AEI_Beta_FC,0.6666666666666666,0.7678571428571428,0.5333333333333333,0.4821428571428571,0.4666666666666667,0.5267857142857142,0.6666666666666666,0.6607142857142857,0.6666666666666666,0.6964285714285714
Social_AEI_Beta_FCPCA,0.4666666666666667,0.6428571428571428,0.7333333333333333,0.6964285714285714,0.4666666666666667,0.5089285714285714,0.4666666666666667,0.6428571428571428,0.5333333333333333,0.45535714285714285
Social_AEI_HighBeta_FC,0.4,0.5714285714285714,0.5333333333333333,0.6696428571428572,0.6666666666666666,0.7767857142857143,0.6,0.5714285714285714,0.6,0.5982142857142857
Social_AEI_HighBeta_FCPCA,0.6,0.6607142857142857,0.4,0.4017857142857143,0.6666666666666666,0.4464285714285714,0.6,0.6071428571428572,0.5333333333333333,0.6875
Social_AEI_Gamma_FC,0.4,0.49999999999999994,0.6,0.7142857142857142,0.6666666666666666,0.5803571428571428,0.4,0.39285714285714285,0.5333333333333333,0.5714285714285714
